instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
RC2_2_1,3,1559.9974500000003,1567.720079999815,6.540660458434819e-5,433.7880001068115,1860,1860,10553,433.7880001068115
c0585,3,1027.0835629997869,1027.0835629997869,91.28250827054781,10.98199987411499,680,25509,4007,246.23999977111816
sn4x,4,853.701705,862.152771999958,9.681142117763471e-5,327.75800013542175,10792,10792,15379,327.75800013542175
R1_2_1,4,3380.17473,3382.999890001625,2.1266240096546522e-5,327.67000007629395,4,4,18934,327.67000007629395
cc0531,1,554.4710709999987,554.4710709999987,98.97627775036277,1.6629998683929443,265,90591,6233,327.5069999694824
sn1y,4,466.77292100000466,466.77292100000466,99.74767743354582,0.31099987030029297,1,73571,12226,245.30999994277954
c0533,3,680.0413870000316,680.0413870000316,98.67209092092267,2.075000047683716,673,98579,5083,310.9210000038147
cc0536,5,499.0515189999959,499.0515189999959,96.29617520061969,5.789999961853027,1283,81867,9975,311.57400012016296
c0539,2,680.9967299999996,680.9967299999996,99.57807775041985,0.7219998836517334,150,95683,4662,337.8819999694824
c0585,4,1027.083562999822,1027.083562999822,82.34430840824774,22.79699993133545,67,21781,3701,246.1890001296997
rc201,2,672.9217299997019,672.9217299997019,77.49682660880146,37.31599998474121,210,31115,15189,312.385999917984
cc0589,1,809.004360999365,809.004360999365,87.42161010976714,24.603000164031982,252,40858,4192,378.22900009155273
sn1y,5,466.7729209999923,466.7729209999923,98.7813636124874,1.497999906539917,2,92683,12670,245.46399998664856
sn4x,5,852.831636,855.5352369994672,9.743510734941323e-5,327.4739999771118,2527,2527,17249,327.4739999771118
R1_2_1,5,3354.6272,3411.093460001662,7.392176685076893e-5,327.27800011634827,510,510,18084,327.27800011634827
cc0582,3,712.8883299999055,712.8883299999055,96.85784875779669,7.277000188827515,784,54716,3782,518.0010001659393
cc0531,2,554.4710709999996,554.4710709999996,99.686207733095,0.5109999179840088,123,81115,6001,327.52999997138977
RC2_2_1,4,1562.33147,1577.1576799998663,0.0,434.5130000114441,5415,5415,9655,434.5130000114441
