Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
RiskVRP,V,121_2.0,2994.8,ILS-SP,3004.4,3011.9,157.9,2998.6028,3009.3539,1634.7486,120,1634.7474
RiskVRP,V,121_2.5,2525.4,ILS-SP,2525.4,2575.2,197.6,2532.4288,2551.5868,2040.1092,120,1702.3548
RiskVRP,V,121_3.0,2133.4,ILS-SP,2135.9,2196.9,192.4,2141.0045,2157.4434,1989.3374,120,1989.336
RiskVRP,V,135_1.0,2053.3,ILS-SP,2053.6,2060.0,22.4,2056.8866,2059.1165,225.1728,134,225.1722
RiskVRP,V,135_1.5,1568.1,ILS-SP,1572.8,1581.5,28.1,1567.4785,1572.5163,289.4716,134,289.4714
RiskVRP,V,135_2.0,1379.4,ILS-SP,1382.0,1389.2,39.3,1377.7107,1378.2986,424.3216,134,424.3212
RiskVRP,V,135_2.5,1206.1,ILS-SP,1206.1,1207.3,21.0,1206.2145,1206.8154,210.4688,134,210.468
RiskVRP,V,135_3.0,1147.9,ILS-SP,1156.6,1161.7,22.8,1137.8887,1138.9216,236.9186,134,236.9182
RiskVRP,V,151_1.0,2956.9,ILS-SP,2956.9,2959.3,28.6,2959.8175,2960.6484,295.2876,150,295.2848
RiskVRP,V,151_1.5,2169.9,ILS-SP,2171.9,2174.3,96.5,2169.8792,2175.7953,1028.2594,150,1028.2586
RiskVRP,V,151_2.0,1775.4,ILS-SP,1777.2,1777.7,81.6,1777.5296,1782.2988,884.7942,150,884.7936
RiskVRP,V,151_2.5,1535.8,ILS-SP,1536.7,1537.6,91.7,1536.3714,1536.5302,974.6184,150,974.6174
RiskVRP,V,151_3.0,1389.2,ILS-SP,1400.5,1404.1,205.2,1400.4058,1403.391,2126.47,150,2126.4686
RiskVRP,V,200_1.0,3821.7,ILS-SP,3821.7,3823.8,76.2,3821.6844,3824.1159,786.4632,199,786.4622
RiskVRP,V,200_1.5,2739.3,ILS-SP,2742.2,2749.8,224.3,2757.1005,2760.2218,2296.4326,199,2202.622
RiskVRP,V,200_2.0,2217.1,ILS-SP,2218.5,2233.4,214.9,2225.0102,2238.1366,2209.5918,199,2209.591
RiskVRP,V,200_2.5,1912.7,ILS-SP,1927.4,1943.5,226.0,1917.6884,1926.1719,2314.087,199,2314.0854
RiskVRP,V,200_3.0,1709.6,ILS-SP,1715.4,1722.2,226.2,1719.1337,1723.5777,2316.3064,199,2316.3056
RiskVRP,V,22_1.0,782.5,ILS-SP,782.5,782.5,0.3,782.5049,782.5049,3.0284,21,0.0286
RiskVRP,V,22_1.5,578.2,ILS-SP,578.2,578.2,0.3,578.1885,578.1885,3.0174,21,0.0134
RiskVRP,V,22_2.0,496.7,ILS-SP,496.7,496.7,0.3,496.6764,496.6764,3.017,21,0.1766
RiskVRP,V,22_2.5,442.4,ILS-SP,442.4,442.4,0.3,442.4451,442.4451,3.0248,21,0.0294
RiskVRP,V,22_3.0,401.7,ILS-SP,401.7,401.7,0.3,401.6767,401.6767,3.2228,21,0.0412
