instance,seed,cost,time,pool
C1_4_1,6,11222.34859,720.146570549,23670
C1_4_1,7,11231.73079999852,285.568530666,11982
C1_4_1,8,11328.34569999874,565.664584319,19329
C1_4_1,9,11196.820949997727,374.599099554,14666
C1_4_1,10,11192.417529997536,309.597174818,13445
C2_2_1,1,1738.34874,76.357652124,3147
C2_2_1,2,1733.9640299998773,59.145165618,3166
C2_2_1,3,1727.7733199999998,52.011710951,2982
C2_2_1,4,1732.088040000001,57.035842593,2961
C2_2_1,5,1727.773320000017,50.049396567,2564
C2_2_1,6,1727.7733199999898,94.456365171,3988
C2_2_1,7,1728.5418599999998,74.094581116,3112
C2_2_1,8,1734.7567099999997,51.619888606,2688
C2_2_1,9,1731.45339,52.287351667,2832
C2_2_1,10,1736.9832099999999,60.085873636,2835
C2_4_1,1,3615.624259999987,286.863778244,7857
C2_4_1,2,3606.4065899999996,247.709956365,7205
C2_4_1,3,3577.465270000001,227.051360752,7790
C2_4_1,4,3598.92581,212.860854793,6242
C2_4_1,5,3631.664580000001,236.165695983,7052
C2_4_1,6,3587.17148,201.967841004,5907
C2_4_1,7,3593.0571400000003,243.415521776,7470
C2_4_1,8,3632.87954,312.390335021,7445
C2_4_1,9,3561.5594499999997,181.054357776,6174
C2_4_1,10,3623.0292099999997,384.63905325,9137
R1_2_1,1,3373.41532,101.768014034,7605
R1_2_1,2,3401.1096900000002,100.725946453,8698
R1_2_1,3,3375.8265799999967,84.710811944,7075
R1_2_1,4,3394.0863099999997,89.531732162,6873
R1_2_1,5,3375.6372100000003,88.220961317,6598
R1_2_1,6,3379.91014,91.94187092,6885
R1_2_1,7,3377.08,56.651232853,5876
R1_2_1,8,3387.98724,119.749426619,10440
R1_2_1,9,3376.79623,58.748902643,5780
R1_2_1,10,3380.47381,108.091646569,8213
R1_4_1,1,9707.022820000002,314.091385454,16426
R1_4_1,2,9621.50108,344.189904623,16715
R1_4_1,3,9718.69094,244.954245022,12229
R1_4_1,4,9776.06668,769.451609417,28879
R1_4_1,5,9664.706320000001,281.464827163,15536
R1_4_1,6,9684.323919999999,390.063562455,20056
R1_4_1,7,9754.88753,326.066917119,16376
R1_4_1,8,9700.6439,291.562029495,15070
R1_4_1,9,9669.59677,328.026248008,16565
R1_4_1,10,9660.52321,287.037004314,14306
R2_2_1,1,1693.34737,46.471242614,1447
R2_2_1,2,1692.37763,41.417625418,1410
R2_2_1,3,1679.8134,41.268834888,1635
R2_2_1,4,1699.87376,50.959078483,2382
R2_2_1,5,1712.4657899999997,44.391861717,1690
R2_2_1,6,1707.17139,44.07753703,1652
R2_2_1,7,1683.12186,42.138699285,1190
R2_2_1,8,1707.60585,44.267292281,1507
R2_2_1,9,1695.4037700000001,38.54855741,1125
R2_2_1,10,1667.95065,38.107784119,1204
R2_4_1,1,3625.80763,167.104539067,3085
R2_4_1,2,3642.4217999999883,182.650325274,2795
R2_4_1,3,3646.7719899999997,195.375940839,3467
R2_4_1,4,3654.71505,318.57065891,4490
R2_4_1,5,3664.331119999998,338.225755051,5106
R2_4_1,6,3675.9924100000003,251.972563248,3896
R2_4_1,7,3610.02002,164.155236962,3177
R2_4_1,8,3622.7565999999997,188.399091033,3387
R2_4_1,9,3640.1998699999995,218.490115994,4238
R2_4_1,10,3637.399479999999,189.635353537,2868
RC1_2_1,1,3327.4780299999998,131.802054757,9484
RC1_2_1,2,3325.4411999999998,95.556185737,6719
RC1_2_1,3,3322.0862399999996,151.69611682,12184
RC1_2_1,4,3347.94467,132.932409697,10430
RC1_2_1,5,3322.6905100000004,126.352246981,8901
RC1_2_1,6,3330.42216,141.635721508,9682
